course,courseofferedby,term,dayperiod,semesteroffered,maininstructor,classroom
英語ⅠＡ,共通,2023年度,月1,前期,Adrian Smith,E1-304(東1号館)
英語ⅠＡ,共通,2023年度,月1,前期,遠藤 史,E1-210(東1号館)
英語ⅠＣ,共通,2023年度,月1,前期,松田 デイビッド,E1-305(東1号館)
スポーツ実習Ａ,共通,2023年度,月1,前期,藤永 博,体育館(卓球場)
英語ⅠＡ,共通,2023年度,月2,前期,Adrian Smith,E1-304(東1号館)
日本学概論,共通,2023年度,月2,前期,安本 博司,E1-103(東1号館)
英語ⅠＡ,共通,2023年度,月2,前期,遠藤 史,E1-210(東1号館)
英語ⅠＡ,共通,2023年度,月2,前期,滝口 智子,E1-208(東1号館)
英語ⅠＡ,共通,2023年度,月2,前期,中嶋 彩佳,E1-209(東1号館)
英語ⅠＡ,共通,2023年度,月2,前期,松田 佳奈,E1-301(東1号館)
英語ⅠＣ,共通,2023年度,月2,前期,松田 デイビッド,E1-305(東1号館)
スポーツ実習Ｃ,共通,2023年度,月2,前期,藤永 博,体育館(卓球場)
心理学概論,共通,2023年度,月3,前期,米澤 好史,E1-101(東1号館)
英語ⅠＡ,共通,2023年度,月3,前期,Adrian Smith,E1-304(東1号館)
英語ⅢＡ,共通,2023年度,月3,前期,城山 雅宏,E1-201(東1号館)
日本学演習,共通,2023年度,月3,前期,安本 博司,E1-205(東1号館)
英語ⅠＡ,共通,2023年度,月3,前期,滝口 智子,E1-208(東1号館)
英語ⅠＡ,共通,2023年度,月3,前期,亀山 幸枝,E1-210(東1号館)
英語ⅠＡ,共通,2023年度,月3,前期,中嶋 彩佳,E1-209(東1号館)
英語ⅠＡ,共通,2023年度,月3,前期,松田 佳奈,E1-301(東1号館)
英語ⅠＣ,共通,2023年度,月3,前期,"Collins, Kevin Keyes",E1-305(東1号館)
英語ⅠＡ,共通,2023年度,月4,前期,Adrian Smith,E1-304(東1号館)
英語ⅢＡ,共通,2023年度,月4,前期,城山 雅宏,E1-201(東1号館)
囲碁から広がる教養の世界,共通,2023年度,月4,前期,今村 俊也,図書館マルチルーム1(西5号館)
英語ⅠＡ,共通,2023年度,月4,前期,亀山 幸枝,E1-210(東1号館)
